,#hurricanealex,hurricane alex,#hurricanecolin,#hurricaneearl,hurricane earl,#hurricanegaston,hurricane gaston,#hurricanehermine,hurricane hermine,#hurricanematthew,hurricane matthew,#hurricanenicole,hurricane nicole,#hurricaneotto,hurricane otto
2017-01-13,,,,,,,,,,1.4000583106024735e-07,4.291357755554353e-07,,,,
2017-01-14,,,,,,,,,,2.0982363527359698e-07,2.1769146904734056e-07,,,,
2017-01-15,,,,,,,,,,1.5625643291819316e-07,1.4251230379974856e-07,,,,
2017-01-16,,,,,,,,,,1.1466403812354527e-07,8.581226423118711e-08,,,,
2017-01-17,,,,,,,,,,6.972929223495822e-08,9.936459261855344e-08,,,,
2017-01-18,,,,,,,,,,1.1279758474012057e-07,1.3327651776536e-07,,,,
2017-01-19,,,,,,,,,,1.185081864439411e-07,1.5071534718525132e-07,,,,
2017-01-20,,,,,,,,,,7.294643375071841e-08,8.340046236549132e-08,,,,
2017-01-21,,,,,,,,,,6.40054833070846e-08,1.1951456870071887e-07,,,,
2017-01-22,,,,,,,,,,8.635859314446518e-08,1.441125243502609e-07,,,,
2017-01-23,,,,,,,,,,3.1721887145942385e-07,1.6326908537601706e-07,,,,
2017-01-24,,,,,,,,,,2.1993329515223133e-07,2.4014523372456883e-07,,,,
2017-01-25,,,,,,,,,,1.8293581581340294e-07,,,,,
2017-01-26,,,,,,,,,,1.3730412346986997e-07,1.2030242187709794e-07,,,,
2017-01-27,,,,,,,,,,2.532811483661902e-07,1.6213905165052447e-07,,,,
2017-01-28,,,,,,,,,,1.0340486178818505e-07,,,,,
2017-01-29,,,,,,,,,,6.700558594579947e-08,,,,,
2017-01-30,,,,,,,,,,9.549798879189218e-08,,,,,
2017-01-31,,,,,,,,,,8.930991945627218e-08,1.0028525388327694e-07,,,,
2017-02-01,,,,,,,,,,2.3276722570577112e-07,,,,,
2017-02-02,,,,,,,,,,1.3381757519292566e-07,8.454304836383363e-08,,,,
2017-02-03,,,,,,,,,,1.0640700293429017e-07,1.1919195415259916e-07,,,,
2017-02-04,,,,,,,,,,4.437091911990659e-08,,,,,
2017-02-05,,,,,,,,,,4.76288126596622e-08,,,,,
2017-02-06,,,,,,,,,,6.724026300604744e-08,,,,,
2017-02-07,,,,,,,,,,8.41762095254789e-08,5.38449277167478e-07,,,,
2017-02-08,,,,,,,,,,8.959011848865552e-08,2.3871401260272063e-07,,,,
2017-02-09,,,,,,,,,,5.01632150495424e-08,1.7124715525028418e-07,,,,
2017-02-10,,,,,,,,,,7.685293468530382e-08,1.288597545314221e-07,,,,
2017-02-11,,,,,,,,,,6.338586755957455e-08,,,,,
2017-02-12,,,,,,,,,,4.0999859262858095e-08,,,,,
2017-02-13,,,,,,,,,,5.7138495620495336e-08,1.2751384324932814e-07,,,,
2017-02-14,,,,,,,,,,6.483037844613731e-08,1.4367526937064305e-07,,,,
2017-02-15,,,,,,,,,,3.590364722840641e-08,1.422257885156352e-07,,,,
2017-02-16,,,,,,,,,,1.261527561319272e-07,2.6368620321513233e-07,,,,
2017-02-17,,,,,,,,,,5.324756612963e-08,,,,,
2017-02-18,,,,,,,,,,3.948435797545534e-08,1.0851427344907241e-07,,,,
2017-02-19,,,,,,,,,,1.098998245515241e-07,9.403379270075261e-08,,,,
2017-02-20,,,,,,,,,,9.370840566949807e-08,2.50286805040378e-07,,,,
2017-02-21,,,,,,,,,,8.792570906511422e-08,3.315274755467406e-07,,,,
2017-02-22,,,,,,,,,,7.969097513353693e-08,3.084625247070505e-07,,,,
2017-02-23,,,,,,,,,,5.552928767842513e-08,3.879599057231565e-07,,,,
2017-02-24,,,,,,,,,,4.684643392296441e-08,3.8895587573415424e-07,,,,
2017-02-25,,,,,,,,,,5.0105138953408535e-08,4.166014561399279e-07,,,,
2017-02-26,,,,,,,,,,5.186647070476705e-08,2.663115018117837e-07,,,,
2017-02-27,,,,,,,,,,4.052244473631298e-08,1.5693157343989614e-07,,,,
2017-02-28,,,,,,,,,,6.00542436953466e-08,,,,,
2017-03-01,,,,,,,,,,9.202186061096023e-08,,,,,
2017-03-02,,,,,,,,,,6.749239002535575e-08,,,,,
2017-03-03,,,,,,,,,,9.658025934911665e-08,1.4897709404982393e-07,,,,
2017-03-04,,,,,,,,,,3.242143525684431e-08,1.0387231069177602e-07,,,,
2017-03-05,,,,,,,,,,7.335566940110928e-08,,,,,
2017-03-06,,,,,,,,,,9.784440837796558e-08,1.3204656595739173e-07,,,,
2017-03-07,,,,,,,,,,8.685154864817582e-08,,,,,
2017-03-08,,,,,,,,,,1.9906949840174814e-08,1.9122321661895054e-07,,,,
2017-03-09,,,,,,,,,,6.480273445506471e-08,9.798427216406542e-08,,,,
