,#hurricanealex,hurricane alex,#hurricanebonnie,hurricane bonnie,#hurricanecolin,hurricane colin,#hurricanedanielle,hurricane danielle,#hurricaneearl,hurricane earl,hurricane fiona,hurricane gaston,#hurricanehermine,hurricane hermine,#hurricaneigor,hurricane igor,hurricane julia,#hurricanekarl,hurricane karl,hurricane lisa,hurricane matthew,hurricane nicole,hurricane otto,#hurricanepaula,hurricane paula,#hurricanerichard,hurricane richard,hurricane shary,#hurricanetomas,hurricane tomas
2010-09-09,,,,,,,,,,1.1066318518178215e-06,,0.0,,,,,,,,,,,,,,,,,,
2010-09-10,,,,,,,,,,6.129847551051985e-07,,0.0,,,,,,,,,,,,,,,,,,
2010-09-11,,,,,,,,,,1.783935956413735e-07,,0.0,,,,1.0346828547199662e-06,,,,,,,,,,,,,,
2010-09-12,,,,,,,,,,3.7252489801199603e-07,,0.0,,,2.874034956542292e-08,1.0989484491353882e-05,,,,,,,,,,,,,,
2010-09-13,,,,,,,,,,4.2107963522842923e-07,,0.0,,,1.2047418760716366e-07,1.0235474210167972e-05,,,,,,,,,,,,,,
2010-09-14,,,,,,,,,,2.8801026698999766e-07,,0.0,,,5.953725324822602e-08,6.080216747566617e-06,3.6801311893166367e-06,,,,,,,,,,,,,
2010-09-15,,,,,,,,,,2.506060358776999e-07,,0.0,,,0.0,2.443408849807574e-06,2.4434088498075735e-06,,,,,,,,,,,,,
2010-09-16,,,,,,,,,,6.075837905214817e-07,,0.0,,,0.0,2.7501161044656544e-06,9.273647329012091e-07,2.9737879918143513e-08,3.5175903661770002e-06,,,,,,,,,,,
2010-09-17,,,,,,,,,,4.3149280079155695e-07,,0.0,,,6.170271987440288e-08,2.954066097726813e-06,5.974515703267712e-07,9.255407981160432e-08,1.6795027476963675e-05,,,,,,,,,,,
2010-09-18,,,,,,,,,,3.6414078469280317e-08,,0.0,,,1.6885469138613794e-07,1.2198716287208909e-05,0.0,,2.039188394279698e-06,,,,,,,,,,,
2010-09-19,,,,,,,,,,3.371764707469066e-08,,0.0,,,6.25435342087802e-08,1.2947576476681214e-05,0.0,,4.3832941197097855e-07,,,,,,,,,,,
2010-09-20,,,,,,,,,,0.0,,0.0,,,1.1633428120566754e-07,9.444828005929102e-06,9.38227947608851e-08,,5.003882387247206e-07,,,,,,,,,,,
2010-09-21,,,,,,,,,,6.554418320280864e-08,,0.0,,,9.144508937279123e-08,7.635897343127207e-06,,,5.898976488252779e-07,,,,,,,,,,,
2010-09-22,,,,,,,,,,0.0,,0.0,,,,1.6800960228766948e-06,,,1.2679969983975055e-07,,,,,,,,,,,
2010-09-23,,,,,,,,,,0.0,,0.0,,,,1.0981394071505286e-06,,,0.0,,,,,,,,,,,
2010-09-24,,,,,,,,,,0.0,,0.0,,,,3.49768988711969e-07,,,1.2718872316798873e-07,5.405520734639521e-07,2.225802655439803e-07,,,,,,,,,
2010-09-25,,,,,,,,,,0.0,,0.0,,,,2.443916139601238e-07,,,0.0,1.4314365960521537e-06,,,,,,,,,,
2010-09-26,,,,,,,,,,0.0,,0.0,,,,2.1715275889503844e-07,,,0.0,,,,,,,,,,,
2010-09-27,,,,,,,,,,0.0,,0.0,,,,2.475824885277238e-07,,,0.0,,,,,,,,,,,
2010-09-28,,,,,,,,,,0.0,,0.0,,,,1.6823709829228914e-07,,,0.0,,,,,,,,,,,
2010-09-29,,,,,,,,,,2.3482765914228525e-07,,0.0,,,,1.3418723379559158e-07,,,0.0,,,1.3418723379559158e-07,,,,,,,,
2010-09-30,,,,,,,,,,1.6947311317533128e-07,,0.0,,,,0.0,,,0.0,,,2.711569810805301e-07,,,,,,,,
2010-10-01,,,,,,,,,,0.0,,0.0,,,,1.0574157731327148e-07,,,0.0,,,7.049438487551432e-08,,,,,,,,
2010-10-02,,,,,,,,,,0.0,,0.0,,,,7.027222687697646e-08,,,1.0540834031546468e-07,,,,,,,,,,,
2010-10-03,,,,,,,,,,9.870489634521761e-08,,0.0,,,,0.0,,,0.0,,,,,,,,,,,
2010-10-04,,,,,,,,,,0.0,,0.0,,,,5.557374244870066e-07,,,0.0,,,,,,,,,,,
2010-10-05,,,,,,,,,,0.0,,0.0,,,,1.412021228609555e-07,,,0.0,,,,,,,,,,,
2010-10-06,,,,,,,,,,0.0,,0.0,,,,0.0,,,8.62630604969313e-08,,,,,,,,,,,
2010-10-07,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-10-08,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,1.7115561354279567e-06,,,,,,,
2010-10-09,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,1.0197907628477988e-06,,,,,,,
2010-10-10,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,3.2301039949926213e-07,,,,,,,
2010-10-11,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-10-12,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,1.1269120496027071e-05,,,,,
2010-10-13,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,1.3657335406061604e-07,8.996282552451723e-06,,,,,
2010-10-14,,,,,,,,,,9.563050514933611e-08,,0.0,,,,0.0,,,,,,,,,5.5146924636117155e-06,,,,,
2010-10-15,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,5.759144928234215e-07,,,,,
2010-10-16,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,1.4324267540217799e-07,,,,,
2010-10-17,,,,,,,,,,7.377728445366907e-08,,0.0,,,,0.0,,,,,,,,,0.0,,,,,
2010-10-18,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,1.117438045323734e-07,,,,,
2010-10-19,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,1.5485679695130326e-07,,,,,
2010-10-20,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-10-21,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,1.5762912554336236e-07,,,
2010-10-22,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,1.284831514690014e-07,,,
2010-10-23,,,,,,,,,,1.072983708029974e-07,,0.0,,,,0.0,,,,,,,,,,,0.0,,,
2010-10-24,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,5.649739753073956e-06,,,
2010-10-25,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,7.435746966884455e-08,7.916830734320437e-06,,,
2010-10-26,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,2.9610498566769616e-07,,,
2010-10-27,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,2.2846147115327428e-07,,,
2010-10-28,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,,
2010-10-29,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,,
2010-10-30,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,7.518262517502985e-07,6.968801858774582e-08,6.6536623279901414e-06
2010-10-31,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,1.2885528018657214e-07,7.974758960592171e-06
2010-11-01,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,2.0481499085691593e-06
2010-11-02,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,1.3454878878675776e-07,1.2655539289772583e-06
2010-11-03,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,1.2639566621280792e-06
2010-11-04,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,9.078010063881957e-08,1.8084878788055046e-06
2010-11-05,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,2.5379574805831445e-07,1.4118052972938608e-05
2010-11-06,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,7.607907034723515e-08,1.119990626539987e-05
2010-11-07,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,3.443940356807719e-06
2010-11-08,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,1.420924900785285e-06
2010-11-09,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,,1.3800839532670452e-06
2010-11-10,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,,5.342252045047472e-07
2010-11-11,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,1.321034618460763e-07
2010-11-12,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,3.4187662766512773e-07
2010-11-13,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2010-11-14,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2010-11-15,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,1.4031758171815325e-07
2010-11-16,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,3.2146703594350484e-07
2010-11-17,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,2.434466949360215e-07
2010-11-18,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,4.0789159285664346e-08
2010-11-19,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-20,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-21,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-22,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-23,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-24,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-25,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-26,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-27,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-28,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-29,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-11-30,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-01,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-02,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-03,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-04,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-05,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-06,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-07,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-08,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-09,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,
2010-12-10,,,,,,,,,,0.0,,0.0,,,,1.0966651673426053e-07,,,,,,,,,,,,,,
2010-12-11,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-12,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-13,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-14,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-15,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-16,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-17,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-18,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-19,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-20,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-21,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-22,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-23,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-24,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2010-12-25,,,,,,,,,,0.0,,1.0199366333768415e-07,,,,,,,,,,,,,,,,,,
2010-12-26,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2010-12-27,,,,,,,,,,2.6624283647024194e-08,,,,,,,,,,,,,,,,,,,,
2010-12-28,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2010-12-29,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2010-12-30,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2010-12-31,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-02,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-03,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-04,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-05,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-06,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-07,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-08,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-09,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-10,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-11,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-12,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-13,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-14,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-15,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-16,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-17,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-18,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-19,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-20,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-21,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-22,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-23,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-24,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-25,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-26,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-27,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-28,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-29,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-30,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-01-31,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-01,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-02,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-03,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-04,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-05,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-06,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-07,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-08,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-09,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-10,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-11,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-12,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-13,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-14,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-15,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-16,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-17,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-18,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-19,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-20,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-21,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-22,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-23,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-24,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-25,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-26,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-27,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-02-28,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-03-01,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-03-02,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-03-03,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-03-04,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-03-05,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
