,#hurricanebarry,hurricane barry,#hurricanedorian,hurricane dorian,hurricane erin,#hurricanehumberto,hurricane humberto,#hurricanejerry,hurricane jerry,#hurricaneimelda,#hurricanekaren,hurricane karen,#hurricanelorenzo,hurricane lorenzo,#hurricanepablo,hurricane pablo
2019-11-19,,,2.6397317937467207e-08,2.1085613028985845e-07,0.0,,,,,,,,,,,
2019-11-20,,,1.2783091304034974e-08,2.859890141541955e-07,0.0,,,,,,,,,,,
2019-11-21,,,0.0,1.8338276768495449e-07,0.0,,,,,,,,,,,
2019-11-22,,,2.7319183171175542e-08,1.7468495604569857e-07,0.0,,,,,,,,,,,
2019-11-23,,,0.0,1.4313335387880097e-07,0.0,,,,,,,,,,,
2019-11-24,,,0.0,0.0,0.0,,,,,,,,,,,
2019-11-25,,,4.1364878851783764e-08,0.0,0.0,,,,,,,,,,,
2019-11-26,,,2.711129773323524e-08,1.1557269549995462e-07,0.0,,,,,,,,,,,
2019-11-27,,,5.467548527568678e-08,3.3534923422346245e-07,0.0,,,,,,,,,,,
2019-11-28,,,1.4649430771463342e-08,1.4100871997924352e-07,0.0,,,,,,,,,,,
2019-11-29,,,3.061975829926349e-08,1.1447509253389686e-07,0.0,,,,,,,,,,,
2019-11-30,,,1.4717087034012322e-08,7.881844716120071e-08,0.0,,,,,,,,,,,
2019-12-01,,,0.0,7.734312146628946e-08,0.0,,,,,,,,,,,
2019-12-02,,,5.4457816077112706e-08,1.5979763459987194e-07,0.0,,,,,,,,,,,
2019-12-03,,,1.2919437283056808e-08,2.478346582643007e-07,0.0,,,,,,,,,,,
2019-12-04,,,4.898522753717792e-08,0.0,0.0,,,,,,,,,,,
2019-12-05,,,0.0,1.1882083941668526e-07,0.0,,,,,,,,,,,
2019-12-06,,,1.3059946342165658e-08,1.1133030192054234e-07,0.0,,,,,,,,,,,
2019-12-07,,,1.4772834795462347e-08,7.896425555050412e-08,0.0,,,,,,,,,,,
2019-12-08,,,0.0,7.615619226837052e-08,0.0,,,,,,,,,,,
2019-12-09,,,0.0,1.3952250126117876e-07,0.0,,,,,,,,,,,
2019-12-10,,,0.0,1.2462112581478849e-07,0.0,,,,,,,,,,,
2019-12-11,,,2.613380158833667e-08,9.746620856991689e-08,0.0,,,,,,,,,,,
2019-12-12,,,0.0,1.3124782464933634e-07,0.0,,,,,,,,,,,
2019-12-13,,,1.0570349082078813e-07,2.817792783463614e-08,0.0,,,,,,,,,,,
2019-12-14,,,0.0,0.0,0.0,,,,,,,,,,,
2019-12-15,,,0.0,0.0,0.0,,,,,,,,,,,
2019-12-16,,,4.087092062743239e-08,8.723613377655298e-08,0.0,,,,,,,,,,,
2019-12-17,,,0.0,1.004901406610744e-07,0.0,,,,,,,,,,,
2019-12-18,,,2.4970626739633334e-08,0.0,0.0,,,,,,,,,,,
2019-12-19,,,0.0,1.0897152929459147e-07,0.0,,,,,,,,,,,
2019-12-20,,,1.3821759864697133e-08,7.369394867741175e-08,0.0,,,,,,,,,,,
2019-12-21,,,0.0,1.491990250341044e-07,0.0,,,,,,,,,,,
2019-12-22,,,7.57373584730064e-08,1.62020362816411e-07,0.0,,,,,,,,,,,
2019-12-23,,,0.0,2.187832311217146e-07,0.0,,,,,,,,,,,
2019-12-24,,,0.0,1.1440678374697351e-07,0.0,,,,,,,,,,,
2019-12-25,,,0.0,7.422915802979485e-08,0.0,,,,,,,,,,,
2019-12-26,,,1.607885921522915e-08,0.0,0.0,,,,,,,,,,,
2019-12-27,,,0.0,1.1123338485081069e-07,0.0,,,,,,,,,,,
2019-12-28,,,1.5035372819510092e-08,6.436638168343899e-08,0.0,,,,,,,,,,,
2019-12-29,,,0.0,0.0,0.0,,,,,,,,,,,
2019-12-30,,,0.0,0.0,0.0,,,,,,,,,,,
2019-12-31,,,3.7713866853305054e-08,1.3434065719637577e-07,0.0,,,,,,,,,,,
2020-01-01,,,0.0,3.116425981711971e-08,0.0,,,,,,,,,,,
2020-01-02,,,0.0,5.884734874157004e-08,0.0,,,,,,,,,,,
2020-01-03,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-04,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-05,,,0.0,5.694325395476949e-08,0.0,,,,,,,,,,,
2020-01-06,,,1.3238699928953193e-08,8.475894943259888e-08,0.0,,,,,,,,,,,
2020-01-07,,,0.0,9.504939696792696e-08,0.0,,,,,,,,,,,
2020-01-08,,,0.0,5.55262978237939e-08,0.0,,,,,,,,,,,
2020-01-09,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-10,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-11,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-12,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-13,,,0.0,8.188421697275851e-08,0.0,,,,,,,,,,,
2020-01-14,,,0.0,9.574691649791044e-08,0.0,,,,,,,,,,,
2020-01-15,,,0.0,6.843675317537638e-08,0.0,,,,,,,,,,,
2020-01-16,,,0.0,0.0,0.0,,,,,,,,,,,
2020-01-17,,,1.3297596132378208e-08,7.09666223111084e-08,0.0,,,,,,,,,,,
2020-01-18,,,0.0,,1.5297429216538645e-08,,,,,,,,,,,
2020-01-19,,,0.0,,,,,,,,,,,,,
2020-01-20,,,1.361943591565102e-08,,,,,,,,,,,,,
