,#hurricaneberyl,hurricane beryl,#hurricanechris,hurricane chris,#hurricaneflorence,hurricane florence,#hurricanegordon,hurricane gordon,#hurricanehelene,hurricane helene,#hurricaneisaac,hurricane isaac,#hurricaneleslie,hurricane leslie,#hurricanemichael,hurricane michael,#hurricaneoscar,hurricane oscar
2018-11-18,,,,,5.6468274967695366e-08,,,,,,,,,,1.7809225182119308e-07,3.09420234892094e-07,,
2018-11-19,,,,,3.6818502557546143e-08,1.4984571970325479e-07,,,,,,,,,1.5136495495880082e-07,3.082540519609813e-07,,
2018-11-20,,,,,6.091098567635128e-08,5.56670684030095e-07,,,,,,,,,2.436439427054051e-07,3.3145277369730846e-07,,
2018-11-21,,,,,1.0434829051851321e-07,1.2454052684427139e-06,,,,,,,,,2.5460982886517225e-07,4.3698430471674174e-07,,
2018-11-22,,,,,3.1798681999143164e-08,3.000857602233324e-07,,,,,,,,,1.40822734567634e-07,3.1913882436449634e-07,,
2018-11-23,,,,,4.713728481546658e-08,1.135960078688251e-07,,,,,,,,,1.2255694052021312e-07,2.123751451460643e-07,,
2018-11-24,,,,,1.6245864957398678e-07,1.4115458630185078e-07,,,,,,,,,1.0211686544650597e-07,2.677069740207515e-07,,
2018-11-25,,,,,3.0665776524590247e-07,1.3639828792868992e-07,,,,,,,,,1.5542927827532042e-07,2.8159646540116626e-07,,
2018-11-26,,,,,9.67890155372261e-08,1.2655497144249103e-07,,,,,,,,,1.4115064765845473e-07,3.206059276543106e-07,,
2018-11-27,,,,,9.294048897243924e-08,1.69128608395857e-07,,,,,,,,,1.6971741464532383e-07,3.509418624214033e-07,,
2018-11-28,,,,,3.9546209930193305e-08,1.2423325563992582e-07,,,,,,,,,9.09562828394446e-08,2.7331316240783677e-07,,
2018-11-29,,,,,1.2981165825278206e-07,1.4866608695104786e-07,,,,,,,,,9.735874368958654e-08,1.6990409937262615e-07,,
2018-11-30,,,,,1.182407820573701e-07,1.4599167319238385e-07,,,,,,,,,1.6469251786562265e-07,3.2737526715867896e-07,,
2018-12-01,,,,,3.2587786557900585e-08,9.823088147088565e-08,,,,,,,,,1.3035114623160234e-07,2.519835655122719e-07,,
2018-12-02,,,,,3.786883232852454e-08,1.3247616661029364e-07,,,,,,,,,7.153001662054635e-08,2.5612058877990104e-07,,
2018-12-03,,,,1.1338594105039727e-07,4.0079933334886566e-08,1.5958021333018875e-07,,,,,,,,,2.003996666744328e-07,2.1837292350446885e-07,,
2018-12-04,,,,,5.218768025825483e-08,1.2194332498953653e-07,,,,,,,,,1.0838979745945233e-07,1.9342734308685105e-07,,
2018-12-05,,,,,7.520367282072175e-08,9.119453961584897e-08,,,,,,,,,1.3457499346865997e-07,1.7409866653934803e-07,,
2018-12-06,,,,,8.237961525976433e-08,1.0352388444182632e-07,,,,,,,,,1.8947311509745796e-07,1.9842077851350045e-07,,
2018-12-07,,,,,7.33182333888571e-08,8.956821823444801e-08,,,,,,,,,7.739146857712693e-08,2.1752281571223086e-07,,
2018-12-08,,,,,3.196124047583e-08,8.617023045835582e-08,,,,,,,,,6.392248095166e-08,2.3457451624774643e-07,,
2018-12-09,,,,,4.3556809515448486e-08,8.223343637563622e-08,,,,,,,,,1.0453634283707637e-07,1.9187801820981785e-07,,
2018-12-10,,,,,4.491268174406624e-08,1.1115591739637818e-07,,,,,,,,,1.3473804523219873e-07,2.052109244240828e-07,,
2018-12-11,,,,,5.6136834207021624e-08,8.820379461544815e-08,,,,,,,,,1.8845937198071545e-07,2.478106610624496e-07,,
2018-12-12,,,,,9.439065379086024e-08,1.4235247396262533e-07,,,,,,,,,8.683940148759142e-08,2.9656765408880275e-07,,
2018-12-13,,,,,6.943471223918974e-08,1.8392447479350361e-07,,,,,,,,,7.351910707678914e-08,1.882017881607944e-07,,
2018-12-14,,,,,4.1372428774072877e-08,1.2602392469692426e-07,,,,,,,,,5.2655818439729114e-08,1.5359165822437645e-07,,
2018-12-15,,,,,3.104860461228086e-08,7.896222273083183e-08,,,,,,,,,5.766169427995017e-08,2.368866681924955e-07,,
2018-12-16,,,,,1.6762255734804553e-08,,,,,,,,,,2.514338360220683e-08,1.756982013722416e-07,,
2018-12-17,,,,,2.5482427369051157e-08,1.2007857675221383e-07,,,,,,,,,6.795313965080309e-08,1.867888971701104e-07,,
2018-12-18,,,,,6.640752072477036e-08,1.1736784710784411e-07,,,,,,,,,9.131034099655924e-08,2.521235234168503e-07,,
2018-12-19,,,,,2.5302791121368675e-08,2.429768019267866e-07,,,,,,,,,6.747410965698313e-08,2.5623008203188406e-07,,
2018-12-20,,,,,6.093033801958041e-08,8.084048095082566e-08,,,,,,,,,1.1373663096988343e-07,5.658833666557795e-07,,
2018-12-21,,,,,4.113739144567444e-08,1.077403489481493e-07,,,,,,,,,9.46160003250512e-08,3.05982591012744e-07,,
2018-12-22,,,,,3.5882416139081894e-08,1.1757368565094011e-07,,,,,,,,,8.073543631293427e-08,5.549477962724373e-07,,
2018-12-23,,,,7.581351586587117e-08,3.161517431715119e-08,,,,,,,,,,5.8713895160423635e-08,1.3267365276527454e-07,,
2018-12-24,,,,,,2.7838737145799107e-07,,,,,,,,,8.227249502329107e-08,1.2479433892944428e-07,,
2018-12-25,,,,,,1.2149613130499996e-07,,,,,,,,,8.182914084056752e-08,9.618443728312498e-08,,
2018-12-26,,,,,3.287933006392235e-08,2.0693553409733703e-07,,,,,,,,,4.2273424367900165e-08,1.773733149405746e-07,,
2018-12-27,,,,,2.1581512299353498e-08,2.4432069088679206e-07,,,,,,,,,6.906083935793119e-08,1.5835600335255042e-07,,
2018-12-28,,,,,2.0607835527710614e-08,1.0374692390370625e-07,,,,,,,,,2.0607835527710614e-08,9.942413540771849e-08,,
2018-12-29,,,,,2.0600330547959893e-08,,,,,,,,,,3.708059498632781e-08,7.769168876844144e-08,,
2018-12-30,,,,,,1.460593247870729e-07,,,,,,,,,,2.06201399699397e-07,,
2018-12-31,,,,,8.805963081183906e-08,1.2589835188649784e-07,,,,,,,,,6.804607835460292e-08,2.1822380993659626e-07,,
2019-01-01,,,,,2.1708037729194766e-08,9.1123756526927e-08,,,,,,,,,2.1708037729194766e-08,9.567994435327336e-08,,
2019-01-02,,,,,2.4453965768099718e-08,8.115043780917463e-08,,,,,,,,,4.483227057484948e-08,,,
2019-01-03,,,,,2.7746372627521634e-08,2.9083494053914954e-07,,,,,,,,,2.378260510930426e-08,9.556005189143485e-08,,
2019-01-04,,,,,,6.498526773697923e-07,,,,,,,,,1.5706219437513007e-08,8.225983257845473e-08,,
2019-01-05,,,,,1.5977237995934617e-08,2.763330166556962e-07,,,,,,,,,1.5977237995934617e-08,8.373727777445341e-08,,
2019-01-06,,,,,2.346529326495281e-08,1.1895952307469971e-07,,,,,,,,,,,,
2019-01-07,,,,,3.873073824528485e-08,1.2579230588195976e-07,,,,,,,,,5.0349959718870305e-08,5.275161214404765e-07,,
2019-01-08,,,,,2.32898268499191e-08,1.463080195424597e-07,,,,,,,,,7.375111835807714e-08,4.267317236655075e-07,,
2019-01-09,,,,,1.9247072463499436e-08,2.2172772370900203e-07,,,,,,,,,6.159063188319821e-08,1.6125652633381966e-07,,
2019-01-10,,,,,1.915576314562426e-08,1.404018317272253e-07,,,,,,,,,6.512959469512248e-08,1.8051664079214682e-07,,
2019-01-11,,,,,1.5808897056766338e-08,1.8625540028390206e-07,,,,,,,,,4.347446690610743e-08,1.0761423127514342e-07,,
2019-01-12,,,,,,,,,,,,,,,4.823457651482828e-08,,,
2019-01-13,,,,,2.4025490083959476e-08,1.4706010443527938e-07,,,,,,,,,2.4025490083959476e-08,1.0084121446990587e-07,,
2019-01-14,,,,2.6181396675151804e-07,1.6113187991384004e-08,,,,,,,,,,6.042445496769002e-08,1.3935259520645314e-07,,
2019-01-15,,,,1.1871097557878594e-06,1.4960441805484014e-08,,,,,,,,,,2.6180773159597023e-08,2.429069467288689e-07,,
2019-01-16,,,,1.119195744806465e-06,,1.818188033079095e-07,,,,,,,,,2.0450812935634632e-07,2.1414214611820452e-07,,
2019-01-17,,,,1.3628308176612132e-07,3.062846083182466e-08,9.619982242314446e-08,,,,,,,,,6.125692166364932e-08,1.8037466704339586e-07,,
2019-01-18,,,,,2.810497331193892e-08,,,,,,,,,,2.810497331193892e-08,1.2197604148275623e-07,,
2019-01-19,,,,,1.9839696206953237e-08,,,,,,,,,,,,,
2019-01-20,,,,,,,,,,,,,,,3.027357904154674e-08,1.1109470215909102e-07,,
2019-01-21,,,,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,3.779861515474921e-08,1.1074561542287738e-07,,
2019-01-23,,,,,1.4734865345525133e-08,,,,,,,,,,3.683716336381283e-08,1.0406770759144942e-07,,
2019-01-24,,,,,4.1926950125933695e-08,,,,,,,,,,9.147698209294624e-08,7.81796618808601e-07,,
2019-01-25,,,,,4.5845543338686106e-08,8.39971511526215e-08,,,,,,,,,3.8204619448905086e-08,3.6798751933529424e-07,,
2019-01-26,,,,,1.717979529801458e-08,,,,,,,,,,1.717979529801458e-08,1.0357043773685264e-07,,
2019-01-27,,,,,2.8915415202333243e-08,,,,,,,,,,4.5438509603666524e-08,2.425339738234035e-07,,
2019-01-28,,,,,3.5977177373852416e-08,,,,,,,,,,5.196703398445349e-08,2.9739981872433867e-07,,
2019-01-29,,,,,2.321203659229012e-08,,,,,,,,,,4.642407318458024e-08,1.296398523471763e-07,,
2019-01-30,,,,,2.5090592001872706e-08,1.0506937244716839e-07,,,,,,,,,6.810303543365448e-08,1.3884167073375824e-07,,
2019-01-31,,,,,2.6632107930315448e-08,8.767346159506457e-08,,,,,,,,,2.6632107930315448e-08,,,
2019-02-01,,,,,1.5941109587787534e-08,1.7953876224758113e-07,,,,,,,,,3.5867496572521956e-08,9.185704114992523e-08,,
2019-02-02,,,,,,,,,,,,,,,1.690597454012643e-08,8.42135880512478e-08,,
2019-02-03,,,,,3.5075906580747897e-08,,,,,,,,,,3.117858362733146e-08,,,
2019-02-04,,,,,3.157860100102902e-08,,,,,,,,,,1.578930050051451e-08,1.1584437673294655e-07,,
2019-02-05,,,,,4.931317519978816e-08,1.7488040098295345e-07,,,,,,,,,4.931317519978816e-08,1.7488040098295345e-07,,
2019-02-06,,,,,,1.6668529308671954e-07,,,,,,,,,1.1744314632219627e-07,2.0240357017673085e-07,,
2019-02-07,,,,,,,,,,,,,,,1.3859523061934535e-07,1.7745536826082488e-07,,
2019-02-08,,,,,3.187472506306484e-08,,,,,,,,,,1.1554587835361005e-07,1.3773894090599992e-07,,
2019-02-09,,,,,,,,,,,,,,,4.619439643493486e-08,,,
2019-02-10,,,,,,,,,,,,,,,,7.634621170116625e-08,,
2019-02-11,,,,,,,,,,,,,,,4.8676532630991373e-08,2.3148034714785944e-07,,
2019-02-12,,,,,2.675892501798668e-08,,,,,,,,,,4.9695146461975266e-08,1.2013286887510177e-07,,
2019-02-13,,,,,,1.7396669276585117e-07,,,,,,,,,,1.5373800756051965e-07,,
2019-02-14,,,,,,,,,,,,,,,1.552367485186446e-08,1.4633932186358249e-07,,
2019-02-15,,,,,,,,,,,,,,,,1.9530456989808962e-07,,
2019-02-16,,,,,1.7177981083478396e-08,8.104503757835519e-08,,,,,,,,,2.5766971625217593e-08,8.104503757835519e-08,,
2019-02-17,,,,,,9.430583106670697e-08,,,,,,,,,2.4530549471388736e-08,,,
2019-02-18,,,,,3.564506723717151e-08,,,,,,,,,,5.9408445395285856e-08,1.8677708086498775e-07,,
2019-02-19,,,,,1.9073808512970334e-08,,,,,,,,,,6.103618724150506e-08,1.5581635982443443e-07,,
2019-02-20,,,,,,,,,,,,,,,2.63840214295545e-08,1.49977174460739e-07,,
2019-02-21,,,,,,1.1890429030618822e-07,,,,,,,,,2.2712819459023342e-08,1.585390537415843e-07,,
2019-02-22,,,,,,,,,,,,,,,1.9547615095370527e-08,2.3747154481860447e-07,,
2019-02-23,,,,,,,,,,,,,,,4.532284195792749e-08,1.1659961728032584e-07,,
2019-02-24,,,,,,,,,,,,,,,4.271559187331826e-08,1.4256465256077683e-07,,
2019-02-25,,,,,,,,,,,,,,,3.43500000818675e-08,2.1991373136180647e-07,,
2019-02-26,,,,,4.701209002324867e-08,8.327663109536913e-08,,,,,,,,,3.977946078890272e-08,1.9305037208471936e-07,,
2019-02-27,,,,,7.539860026953972e-08,,,,,,,,,,2.741767282528717e-08,3.1913621001302626e-07,,
2019-02-28,,,,,2.9140709822231762e-08,,,,,,,,,,4.7353653461126616e-08,2.1360767557070936e-07,,
2019-03-01,,,,,1.486384938776529e-08,,,,,,,,,,1.8579811734706612e-08,1.1279207868543431e-07,,
2019-03-02,,,,,,,,,,,,,,,1.4697566718253778e-08,1.8476940697173313e-07,,
2019-03-03,,,,,,,,,,,,,,,1.5370717004945086e-08,1.8126231438260677e-07,,
2019-03-04,,,,,1.4990780145533192e-08,,,,,,,,,,5.621542554574947e-08,5.338813929411489e-07,,
2019-03-05,,,,,2.643786821860277e-08,,,,,,,,,,3.021470653554602e-08,1.7017211865023813e-07,,
2019-03-06,,,,,2.239803518462551e-08,,,,,,,,,,2.239803518462551e-08,1.0562847056277124e-07,,
2019-03-07,,,2.2644686526207715e-08,1.0677086026290506e-07,,,,,,,,,,,1.0944931821000396e-07,1.3840667071117323e-07,,
2019-03-08,,,,1.3346405530896048e-07,,1.4155278593374597e-07,,,,,,,,,5.0210915779705324e-08,2.3457318811877905e-07,,
2019-03-09,,,,,,1.0192907239793337e-07,,,,,,,,,5.4937199111337556e-08,1.639728555966754e-07,,
2019-03-10,,,,,,5.02990911840851e-07,,,,,,,,,8.936309460172169e-08,4.987282769947422e-07,,
2019-03-11,,,,,,1.9032406565891606e-07,,,,,,,,,2.270482685584742e-08,2.696257596834644e-07,,
2019-03-12,,,,,,1.384548790984866e-07,,,,,,,,,3.930480111826018e-08,1.908432117303464e-07,,
2019-03-13,,,,,,,,,,,,,,,3.387232156945912e-08,1.45426540494742e-07,,
