,hurricane beryl,#hurricanechris,hurricane chris,#hurricanedebby,hurricane debby,#hurricaneernesto,hurricane ernesto,hurricane gordon,#hurricaneisaac,hurricane isaac,hurricane kirk,#hurricaneleslie,hurricane leslie,#hurricanemichael,hurricane michael,hurricane nadine,#hurricanerafael,hurricane rafael,#hurricanesandy,hurricane sandy
2012-09-13,,0.0,7.808249811022786e-08,,,,,,8.612441695474267e-08,1.0306889750550077e-06,,,,,,,,,,
2012-09-14,,0.0,5.110886256723786e-08,,,,,,4.6926433570870244e-08,5.110886256723787e-07,,,,,,,,,,
2012-09-15,,0.0,6.00458814010979e-08,,,,,,7.068712741698728e-08,3.9458722063578623e-07,,,,,,9.607341024175665e-07,,,,
2012-09-16,,0.0,1.0349338597795465e-07,,,,,,5.4160062862501764e-08,1.4784769425422094e-07,,,,,,5.618212381660396e-07,,,,
2012-09-17,,0.0,5.2857350176614906e-08,,,,,,3.467072079263592e-08,3.6245040121107367e-07,,,,,,0.0,,,,
2012-09-18,,0.0,9.720307352828546e-08,,,,,,0.0,2.841320610826806e-07,,,,,,0.0,,,,
2012-09-19,,0.0,1.083566062039126e-07,,,,,,4.264718315888325e-08,2.5541200033779397e-07,,,,,,0.0,,,,
2012-09-20,,0.0,0.0,,,,,,0.0,2.7556291026839444e-07,,,,,,0.0,,,,
2012-09-21,,0.0,9.240602808876116e-08,,,,,,0.0,1.6801096016138394e-07,,,,,,0.0,,,,
2012-09-22,,0.0,5.889427281634381e-08,,,,,,0.0,1.9350975353941538e-07,,,,,,0.0,,,,
2012-09-23,,0.0,1.033430342177718e-07,,,,,,0.0,9.59613889165024e-08,,,,,,0.0,,,,
2012-09-24,,0.0,6.861119274360707e-08,,,,,,0.0,1.9058664651001963e-07,,,,,,0.0,,,,
2012-09-25,,0.0,1.4647257498385948e-07,,,,,,0.0,2.1585432102884557e-07,,,,,,0.0,,,,
2012-09-26,,0.0,8.429850071514634e-08,,,,,,4.9267719457302555e-08,1.3794300117023944e-07,,,,,,0.0,,,,
2012-09-27,,0.0,1.1924505478833287e-07,,,,,,4.3814565920222976e-08,8.744637351144411e-08,,,,,,0.0,,,,
2012-09-28,,0.0,0.0,,,,,,4.670600708453841e-08,1.2724034946205707e-07,,,,,,4.835133279558168e-07,,,,
2012-09-29,,0.0,2.113212324146078e-07,,,,,,7.73651275743604e-08,1.1833989015218036e-07,,,,,,3.296611225667882e-07,,,,
2012-09-30,,0.0,9.725053075038218e-08,,,,,,5.480015445423533e-08,8.228891063493876e-08,,,,,,4.638102235787458e-07,,,,
2012-10-01,,0.0,1.2009298108991151e-07,,,,,,4.826978140808827e-08,1.3510460372615045e-07,,,,,,8.256392449931416e-08,,,,
2012-10-02,,0.0,0.0,,,,,,0.0,1.1348600757246734e-07,,,,,,,,,,
2012-10-03,,0.0,1.3446097496662184e-07,,,,,,3.258065440368628e-08,9.907650787014241e-08,,,,,,,,,,
2012-10-04,,0.0,8.052146668080087e-08,,,,,,4.440420239595307e-08,1.0467790668504113e-07,,,,,,,,,,
2012-10-05,,0.0,9.327543551805969e-08,,,,,,5.450328867782862e-08,9.327543551805969e-08,,,,,,,,,,
2012-10-06,,0.0,8.484387818584309e-08,,,,,,5.436014406183687e-08,0.0,,,,,,,,,,
2012-10-07,,0.0,1.2188341443100237e-07,,,,,,4.882138583702338e-08,0.0,,,,,,,,,,
2012-10-08,,0.0,1.2021511081552888e-07,,,,,,5.518233748022161e-08,0.0,,,,,,,,,,
2012-10-09,,0.0,2.434140950620431e-07,,,,,,4.889367683711722e-08,1.141003570603327e-07,,,,,,,,,,
2012-10-10,,0.0,0.0,,,,,,0.0,3.656669710312557e-07,,,,,,,,,,
2012-10-11,,0.0,9.879107312008358e-08,,,,,,0.0,6.839381985236555e-08,,,,,,,,,,
2012-10-12,,0.0,1.7792496333241866e-07,,,,,,0.0,7.62535557138937e-08,,,,,,,,,,
2012-10-13,,0.0,1.031030884994124e-07,,,,,,0.0,0.0,,,,,,,,,,
2012-10-14,,0.0,1.1303740582589967e-07,,,,,,0.0,0.0,,,,,,,,,,
2012-10-15,,0.0,1.0744568513170907e-07,,,,,,4.2291701896535425e-08,9.209630154146491e-08,,,,,,,,2.9931298000976095e-07,,
2012-10-16,,0.0,0.0,,,,,,3.280045689199625e-08,0.0,,,,,,,4.592063964879475e-08,1.0768680233482673e-06,,
2012-10-17,,0.0,9.21505812374874e-08,,,,,,2.823060511377509e-08,0.0,,,,,,,,3.225270343312059e-07,,
2012-10-18,,0.0,8.002054847664332e-08,,,,,,6.430711785998185e-08,8.002054847664332e-08,,,,,,,,,,
2012-10-19,,0.0,7.492086608388001e-08,,,,,,0.0,9.989448811184e-08,,,,,,,,,,
2012-10-20,,0.0,7.647534840086903e-08,,,,,,0.0,0.0,,,,,,,,,,
2012-10-21,,0.0,6.016363139015508e-08,,,,,,0.0,0.0,,,,,,,,,,
2012-10-22,,0.0,1.0715557650978885e-07,,,,,,0.0,0.0,,,,,,,,,,
2012-10-23,,0.0,6.74617235672824e-08,,,,,,0.0,1.0494045888243929e-07,,,,,,,,,4.1321601451170564e-08,4.5724057084491403e-07
2012-10-24,,0.0,1.0571586262818681e-07,,,,,,0.0,0.0,,,,,,,,,1.1377887656721468e-06,9.242586846921476e-06
2012-10-25,,0.0,1.0810424640738316e-07,,,,,,0.0,0.0,,,,,,,,,2.8791730901420164e-06,3.189075269017803e-05
2012-10-26,,0.0,2.764907459385185e-07,,,,,,0.0,0.0,,,,,,,,,8.169683668849227e-06,5.942875336187612e-05
2012-10-27,,0.0,2.3078616495065046e-07,,,,,,0.0,5.128581443347787e-08,,,,,,,,,1.0835189723389733e-05,6.87486342480771e-05
2012-10-28,,0.0,1.46603395392994e-06,,,,,,5.212910988671706e-08,1.352167239061595e-07,,,,6.516138735839632e-09,,,,,4.4922260444878434e-05,0.00018564544525347774
2012-10-29,,2.4850769112355315e-08,2.0763938014897053e-06,,,,,,4.970153822471063e-08,2.0290493174166498e-07,,,,,,,,,0.00014605418276559027,0.0003977071932091128
2012-10-30,,,6.455017289870213e-07,,,,,,7.16581837925839e-08,1.0640138389895955e-07,,,,,,,,,5.307265666892555e-05,0.00020119792352733923
2012-10-31,,,2.379466913750511e-07,,,,,,1.1982578599460003e-07,0.0,,,,,,,,,1.676151288795052e-05,0.00010109664103550961
